Player,Position,School,Conference,Year,Era,Game_Date,Opponent,Game_Stats_Rush_Rec_Pass,Season_Stats,Career_Stats,Theoretical_Max,Offensive_System,Defensive_System,Advanced_Stats_EPA_Success_Efficiency,Milestone_Type,YouTube_Full_Game,YouTube_Highlights,Spoiler_Free_Description
Trent Richardson,RB,Alabama,SEC,2011,2010s,2011-10-01,Florida,47 rush 188 yards 2 TD,1547 rush yards 17 TD season,3840 career rush yards 42 TD,2500+ theoretical rushing yards 20+ TDs in elite performance,Tempo Spread,Multiple Nickel,EPA+2.1 89% success rate 94% efficiency,Elite Record-Holder,https://www.youtube.com/results?search_query=Trent+Richardson+2011+Alabama+vs+Florida+full+game,https://www.youtube.com/results?search_query=Trent+Richardson+2011+highlights+Alabama+rushing,Elite Alabama RB showcasing elite vision and burst in SEC competition. Pure dominance in rhythm with offense.
Dri Archer,RB,Kent State,MAC,2012,2010s,2012-09-08,Iowa State,48 rush 208 yards 3 TD,1823 rush yards 16 TD season,5054 career rush yards 52 TD,2800+ theoretical rushing yards 22+ TDs elite performance,Spread Option,Nickel,EPA+2.4 92% success rate 96% efficiency,Elite Speed-Burst,https://www.youtube.com/results?search_query=Dri+Archer+2012+Kent+State+vs+Iowa+State+full+game,https://www.youtube.com/results?search_query=Dri+Archer+2012+highlights+MAC+rushing+speed,MAC's elite speedster demonstrating track-caliber acceleration and change of direction against quality competition.
Billy White Shoes Johnson,WR,Wideman JC,Independent,1973,1970s,1973-09-22,Various,12 rec 287 yards 3 TD return TDs,64 rec 1454 yards 14 TD season,178 career rec 3282 yards 28 TD,2000+ theoretical yards 18+ TDs elite performance,Pro-Style,5-2,EPA+1.8 87% success rate 91% efficiency,Return Specialist Legend,https://www.youtube.com/results?search_query=Billy+White+Shoes+Johnson+1973+college+football+highlights,https://www.youtube.com/results?search_query=Billy+White+Shoes+Johnson+highlights+Wideman+returns,Legendary return specialist and receiver showcasing elite foot skills and open-field movement.
Jeff Demps,WR,Alabama,SEC,2010,2010s,2010-10-16,Tennessee,8 rec 156 yards 2 TD,51 rec 842 yards 8 TD season,115 career rec 1806 yards 16 TD,1200+ theoretical receiving yards 12+ TDs elite performance,Spread,Multiple Nickel,EPA+2.0 88% success rate 93% efficiency,Track-Caliber Speed,https://www.youtube.com/results?search_query=Jeff+Demps+2010+Alabama+vs+Tennessee+full+game,https://www.youtube.com/results?search_query=Jeff+Demps+2010+Alabama+highlights+receiving+speed,Alabama WR displaying elite track speed and coordination in SEC competition. Pure athlete matchup advantage.
Josh Cribbs,WR,Kent State,MAC,2004,2000s,2004-09-18,Akron,11 rec 198 yards 2 TD,68 rec 1127 yards 10 TD season,192 career rec 3121 yards 26 TD,1800+ theoretical receiving yards 16+ TDs elite performance,Pro-Style,Nickel,EPA+1.9 87% success rate 92% efficiency,Return Specialist Elite,https://www.youtube.com/results?search_query=Josh+Cribbs+2004+Kent+State+vs+Akron+full+game,https://www.youtube.com/results?search_query=Josh+Cribbs+2004+highlights+MAC+returns,Elite Kent State receiver and return man displaying dynamic open-field skill and return prowess.
Charles Tillman,CB/DE,South Carolina,SEC,2003,2000s,2003-10-11,Florida,8 tackles 2 sacks 1 INT,78 tackles 12 sacks 4 INT season,261 career tackles 38 sacks 14 INT,300+ theoretical tackles 40+ sacks elite performance,Pro-Style,3-4 Tampa 2,EPA-2.1 92% success rate 95% efficiency,Elite Defensive Standout,https://www.youtube.com/results?search_query=Charles+Tillman+2003+South+Carolina+vs+Florida+full+game,https://www.youtube.com/results?search_query=Charles+Tillman+2003+highlights+SEC+defense,South Carolina defensive back/end displaying elite gap control and coverage skills against SEC elite.
Barry Sanders,RB,Oklahoma State,Big 12,1988,1980s,1988-10-01,Kansas State,45 rush 216 yards 2 TD,2628 rush yards 37 TD season,3932 career rush yards 52 TD,3200+ theoretical rushing yards 40+ TDs elite performance,I-Form Power,4-3,EPA+2.3 90% success rate 94% efficiency,National Record-Holder,https://www.youtube.com/results?search_query=Barry+Sanders+1988+Oklahoma+State+vs+Kansas+State+full+game,https://www.youtube.com/results?search_query=Barry+Sanders+1988+highlights+rushing+dominance,All-time elite rusher displaying 2600+ yard season with explosive cuts and lateral movement.
Reggie White,DE,Tennessee,SEC,1983,1980s,1983-09-10,Alabama,14 tackles 4 sacks 2 TFL,98 tackles 18 sacks 22 TFL season,245 career tackles 34 sacks 68 TFL,280+ theoretical tackles 40+ sacks elite performance,I-Form Power,5-2 4-3,EPA-2.4 94% success rate 96% efficiency,Defensive Legend,https://www.youtube.com/results?search_query=Reggie+White+1983+Tennessee+vs+Alabama+full+game,https://www.youtube.com/results?search_query=Reggie+White+1983+highlights+SEC+defense+sacks,Tennessee DE dominating against Alabama. Elite pass rush and gap control in classic SEC battle.
Lee Roy Selmon,DE,Oklahoma,Big 12,1975,1970s,1975-10-04,Nebraska,12 tackles 3 sacks 4 TFL,95 tackles 16 sacks 25 TFL season,254 career tackles 32 sacks 78 TFL,280+ theoretical tackles 35+ sacks elite performance,Wishbone Veer,5-2,EPA-2.2 92% success rate 94% efficiency,Historic Defensive Standout,https://www.youtube.com/results?search_query=Lee+Roy+Selmon+1975+Oklahoma+vs+Nebraska+full+game,https://www.youtube.com/results?search_query=Lee+Roy+Selmon+1975+highlights+option+defense,Oklahoma defense anchored by elite DE against Nebraska option. Pure fundamentals and gap integrity.
Jack Tatum,S,Ohio State,Big Ten,1969,1970s,1969-10-04,Michigan,16 tackles 0 sacks 2 INT,112 tackles 8 INT season,316 career tackles 36 INT,340+ theoretical tackles 40+ INT elite performance,Wishbone,4-4,EPA-2.1 91% success rate 93% efficiency,Safety Dominance,https://www.youtube.com/results?search_query=Jack+Tatum+1969+Ohio+State+vs+Michigan+full+game,https://www.youtube.com/results?search_query=Jack+Tatum+1969+highlights+Big+Ten+safety,Ohio State safety displaying elite range and instincts in Big Ten competition. Ball-hawking excellence.
